commit_sha,commit_time,release_tag,platform,project,status,error,install_size_bytes,bob_build_time_ms,open_time_ms,memory_after_open_bytes,build_time_ms,memory_after_build_bytes,memory_added_by_build_bytes,comment
ed867690202a7ec8449237a11ca7da21af9ac587,2026-03-23T12:28:14Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,312555397,,536052,3053143040,1276624,3999724544,946581504,
3adc7cfc674b38b08dc31279cf0f1f140073efa8,2026-03-23T17:29:37Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,312554238,,594735,3054004224,1288527,4080768000,1026763776,
0eb983abf9d351390032eb5702e60fc50e1945d0,2026-03-24T14:53:20Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,312659505,,588070,3090342912,1418160,4122414080,1032071168,
4d96ce57f1682c7440da141b465de576b30d34ed,2026-03-25T19:17:11Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,312684789,,512687,3086817280,1191470,4170380288,1083563008,
9fbe06870c29b11f8af7b7e37e404f458fb98fea,2026-03-26T07:39:48Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,312954064,,581071,3084989440,1216277,4045298688,960309248,
4613636ce3150fe94fdd6ab7acd175680e6e69ad,2026-03-26T15:00:40Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,313046789,,503023,3075634176,956553,4057648128,982013952,
791d097a8c853f0ab1dfdf1b8ae3ec9bdc2c6f11,2026-03-26T20:07:56Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,312840260,,425033,3074336768,1052023,4023382016,949045248,
897bd83f024937038e7bf24de8afdc2000527a9d,2026-03-27T14:35:01Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,312729265,,528334,3067810816,727865,4029424640,961613824,
c5b0b6970ea61ed1c27c45270a4afb2460bc37cc,2026-03-28T08:08:19Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,312731598,,424971,3074301952,742892,4077377536,1003075584,
e4d3ce4492ca1f5fbff25c193fb7f32b2322a27a,2026-03-29T15:31:03Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,312721353,,440067,3078791168,696879,4043478016,964686848,
826d99f6c01a3336f48635e9a92830ab1ff8e34e,2026-03-30T09:00:34Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,312721413,,378298,3032366080,677944,3975811072,943444992,
eff19215df14336f05563b14782c3b28bb33914d,2026-03-31T13:30:02Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,312699004,,736310,3023811584,1118252,4020476928,996665344,
e2d0cbaf84184c3bb50c7e1fdf39e86bb5f0b7ca,2026-04-01T08:29:11Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,312674856,199047,630035,3020941312,1125535,3992573952,971632640,
89ed845f4b33bdc138d736741aca258ba20aab1b,2026-04-02T13:49:33Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,312765663,219995,457841,3030671360,1124122,3995755520,965084160,
f7b36913ddca601af407562e8e3624511292a9cc,2026-04-05T14:01:48Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,312772054,214144,592553,3025926144,1086345,3999193088,973266944,
61d8aedb642c70df143ae8fe1a5382db8f32d274,2026-04-07T17:15:17Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,313604856,165010,429064,3034112000,938808,3932855296,898743296,
03b8ac99e4a2569bcb97d444054db49b8474fb8e,2026-04-08T17:50:59Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,313617490,163141,442489,3038009344,1457284,4004142080,966132736,
f1a3237dd54b6fb271a77186a2311aaa0b036924,2026-04-09T03:44:16Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,313651959,189659,477595,3024916480,732188,3995723776,970807296,
f9c73f825de2d922e6d006a7790531e6b4d834e8,2026-04-10T15:38:12Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,313444132,184458,671876,3024284672,1012626,4012182528,987897856,
a83d03ce8eb3ffc94379c5ac35e79cd9a6cb537f,2026-04-11T11:07:35Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,313445084,221665,717140,3027004416,1183877,3992520704,965516288,
b57e6dfa82891d301fc2d553fa349ea3118240de,2026-04-13T13:07:34Z,1.12.4-alpha,macos-arm64,defold/big-synthetic-project,ok,,313454972,215053,593379,3020702720,1048342,3970996224,950293504,
bcb3508bc4c8f9246ff80f255a08cd3f5fb8a7ac,2026-04-14T10:52:05Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,313484391,166888,579879,3036082176,1015415,4002677760,966595584,
